angle,expected_cos,actual_cos,expected_sin,actual_sin
-21444,  4247,  4245,-15824,-15826
-24875,   859,   861,-16361,-16361
 -4324, 15824, 15820, -4274, -4276
-21536,  4153,  4155,-15848,-15848
-18144,  7321,  7321,-14655,-14655
  3206, 16071, 16071,  3189,  3185
-10728, 12990, 12994, -9978, -9976
 10412, 13184, 13184,  9725,  9725
-20096,  5530,  5528,-15423,-15423
-10225, 13291, 13293, -9579, -9575
-21625,  4069,  4071,-15870,-15870
 16271,  8946,  8948, 13725, 13723
-19400,  6179,  6177,-15176,-15176
 15686,  9429,  9431, 13397, 13395
 16785,  8512,  8508, 13999, 14001
 25093,   642,   642, 16370, 16370
-25404,   331,   331,-16378,-16378
 -6506, 15111, 15111, -6336, -6336
 21103,  4570,  4570, 15732, 15732
  8022, 14458, 14458,  7703,  7703
-17504,  7898,  7890,-14360,-14360
-19905,  5708,  5710,-15357,-15357
 -8744, 14097, 14103, -8336, -8330
 13238, 11319, 11319, 11846, 11846
 17651,  7757,  7759, 14428, 14428
 11826, 12298, 12300, 10828, 10826
 24684,  1050,  1050, 16350, 16350
 -7241, 14804, 14810, -7009, -7003
-20522,  5124,  5124,-15559,-15559
   711, 16368, 16368,   712,   710
 -8170, 14385, 14389, -7836, -7834
  6206, 15222, 15224,  6061,  6055
 18416,  7076,  7078, 14774, 14774
   219, 16383, 16383,   222,   216
-21365,  4313,  4319,-15803,-15803
  9774, 13552, 13554,  9206,  9204
-17879,  7556,  7558,-14534,-14534
 -6584, 15079, 15081, -6408, -6408
 22204,  3504,  3504, 16004, 16004
 -9918, 13476, 13474, -9327, -9327
 -1187, 16339, 16339, -1186, -1180
 -8877, 14040, 14038, -8453, -8447
-12033, 12161, 12161,-10982,-10980
-15957,  9211,  9211,-13550,-13552
 24183,  1548,  1556, 16309, 16309
 24856,   878,   876, 16361, 16361
-21732,  3963,  3965,-15895,-15895
  2100, 16248, 16248,  2096,  2098
 11109, 12758, 12760, 10279, 10277
-15942,  9212,  9218,-13542,-13540
 -3279, 16052, 16054, -3259, -3253
-23280,  2446,  2446,-16199,-16199
 -7164, 14840, 14844, -6939, -6937
-10204, 13307, 13303, -9561, -9557
 13391, 11204, 11204, 11955, 11955
-20983,  4689,  4689,-15699,-15699
 -9452, 13731, 13731, -8938, -8938
-13964, 10779, 10781,-12334,-12334
  -599, 16373, 16375,  -598,  -598
 17329,  8039,  8041, 14272, 14272
-23320,  2402,  2406,-16205,-16203
 -8701, 14127, 14127, -8300, -8296
   -71, 16384, 16386,   -70,   -70
 10740, 12987, 12989,  9988,  9986
-21853,  3841,  3847,-15925,-15925
-15227,  9800,  9802,-13125,-13125
 21132,  4542,  4542, 15740, 15740
 -9908, 13476, 13474, -9319, -9315
-19613,  5980,  5982,-15252,-15252
  2055, 16255, 16255,  2052,  2052
-19351,  6225,  6225,-15157,-15157
 19115,  6441,  6441, 15064, 15064
 23115,  2607,  2609, 16175, 16175
 12800, 11632, 11634, 11537, 11535
  4956, 15636, 15642,  4886,  4876
-11064, 12783, 12787,-10243,-10241
-16412,  8825,  8827,-13801,-13797
 -2182, 16241, 16239, -2178, -2178
 -5901, 15330, 15334, -5774, -5772
 13749, 10946, 10946, 12192, 12192
-12578, 11783, 11785,-11381,-11377
 23210,  2513,  2513, 16191, 16191
 -9421, 13749, 13753, -8912, -8916
-22242,  3463,  3467,-16010,-16010
 -8110, 14417, 14417, -7786, -7780
 10819, 12938, 12938, 10049, 10049
 12757, 11664, 11666, 11505, 11503
-24943,   787,   793,-16363,-16363
-13662, 11013, 11009,-12134,-12134
 13366, 11227, 11227, 11932, 11932
 22211,  3496,  3498, 16004, 16004
 21672,  4028,  4028, 15878, 15878
  5653, 15417, 15417,  5541,  5541
  4897, 15656, 15656,  4824,  4824
-25276,   459,   459,-16376,-16376
   787, 16363, 16363,   786,   786
 12646, 11740, 11740, 11427, 11427
  3561, 15996, 15996,  3530,  3534
   596, 16372, 16372,   600,   600
 20137,  5487,  5489, 15435, 15435
  -770, 16368, 16366,  -770,  -770
-16696,  8585,  8585,-13951,-13951
-12357, 11945, 11943,-11219,-11219
-16732,  8559,  8557,-13971,-13973
 16795,  8500,  8500, 14005, 14005
-13536, 11103, 11103,-12047,-12051
   421, 16376, 16376,   424,   424
-19512,  6078,  6076,-15220,-15220
 24113,  1618,  1620, 16303, 16303
-24626,  1111,  1109,-16346,-16346
  6381, 15157, 15157,  6222,  6220
 17292,  8073,  8071, 14256, 14256
 12552, 11804, 11808, 11363, 11359
-11616, 12438, 12436,-10666,-10666
 -3813, 15948, 15944, -3778, -3780
 -8717, 14121, 14117, -8316, -8308
-18119,  7343,  7345,-14643,-14643
 20150,  5473,  5473, 15443, 15443
 14671, 10241, 10241, 12792, 12792
 18302,  7182,  7182, 14727, 14727
 23950,  1780,  1786, 16284, 16284
 -8874, 14034, 14040, -8447, -8445
  2376, 16211, 16211,  2367,  2371
-18472,  7021,  7025,-14798,-14794
 -9235, 13847, 13851, -8759, -8753
 10032, 13404, 13406,  9421,  9417
-19555,  6036,  6036,-15232,-15232
 20019,  5603,  5603, 15393, 15393
 13209, 11341, 11341, 11824, 11824
 -2159, 16241, 16243, -2154, -2154
 16554,  8710,  8706, 13878, 13880
-20007,  5602,  5610,-15391,-15391
-11408, 12574, 12572,-10507,-10507
 -2191, 16235, 16237, -2184, -2184
-23221,  2502,  2506,-16191,-16191
-18087,  7371,  7373,-14629,-14629
-12614, 11763, 11763,-11405,-11403
-12216, 12036, 12034,-11120,-11110
 19068,  6485,  6483, 15046, 15046
 -4342, 15816, 15812, -4290, -4290
 10209, 13303, 13303,  9561,  9561
-23942,  1787,  1789,-16284,-16282
 18656,  6859,  6859, 14879, 14879
 10082, 13377, 13377,  9457,  9457
 -9375, 13779, 13777, -8876, -8876
 12033, 12160, 12162, 10982, 10980
 21648,  4044,  4048, 15876, 15876
 18935,  6603,  6603, 14994, 14994
-23630,  2099,  2101,-16248,-16248
  3833, 15937, 15937,  3798,  3798
 18580,  6930,  6930, 14847, 14847
-13370, 11218, 11222,-11934,-11932
  4243, 15836, 15838,  4200,  4196
  9967, 13442, 13444,  9365,  9363
 -4606, 15737, 15737, -4542, -4542
  5051, 15610, 15612,  4976,  4968
-19609,  5988,  5986,-15252,-15252
  1456, 16317, 16317,  1454,  1460
 15306,  9733,  9741, 13178, 13171
  4728, 15705, 15705,  4664,  4662
 17561,  7841,  7835, 14384, 14390
 15984,  9186,  9184, 13564, 13566
 23197,  2525,  2531, 16187, 16187
-17085,  8258,  8254,-14152,-14154
 10803, 12949, 12953, 10038, 10032
-12827, 11605, 11613,-11557,-11555
 18436,  7062,  7062, 14782, 14782
-14442, 10426, 10420,-12642,-12644
 -7866, 14533, 14533, -7570, -7568
  1085, 16348, 16348,  1088,  1086
   469, 16376, 16376,   472,   472
   208, 16383, 16383,   214,   206
 -8078, 14433, 14433, -7758, -7752
 -6362, 15172, 15168, -6203, -6203
 19391,  6184,  6184, 15172, 15172
 -5869, 15344, 15346, -5744, -5744
  6702, 15030, 15034,  6521,  6515
-13582, 11067, 11067,-12077,-12077
  -396, 16377, 16377,  -394,  -394
  6971, 14923, 14923,  6763,  6761
 -2830, 16143, 16141, -2817, -2817
 24782,   954,   954, 16355, 16355
  4460, 15779, 15779,  4404,  4404
 20124,  5497,  5501, 15433, 15431
 18912,  6627,  6627, 14984, 14984
 13633, 11030, 11032, 12115, 12113
-13295, 11280, 11280,-11887,-11887
-11187, 12699, 12707,-10341,-10335
 -6096, 15261, 15263, -5952, -5952
 20590,  5059,  5057, 15583, 15583
-23104,  2620,  2620,-16173,-16173
 11447, 12547, 12547, 10537, 10537
 20893,  4770,  4772, 15672, 15672
 22778,  2941,  2941, 16118, 16118
 11231, 12682, 12684, 10371, 10369
 23962,  1768,  1774, 16284, 16284
 11027, 12810, 12814, 10217, 10211
-21300,  4383,  4381,-15787,-15787
 14877, 10079, 10079, 12916, 12916
 14079, 10696, 10696, 12411, 12411
-23892,  1835,  1839,-16278,-16278
 12932, 11539, 11537, 11630, 11632
 -1970, 16269, 16267, -1968, -1968
-17016,  8312,  8312,-14118,-14118
  6742, 15014, 15014,  6553,  6555
-20775,  4881,  4885,-15636,-15636
 18833,  6697,  6699, 14951, 14951
-24522,  1219,  1213,-16340,-16340
  1342, 16327, 16327,  1340,  1342
  1073, 16348, 16350,  1080,  1070
 21410,  4274,  4276, 15815, 15815
  5576, 15443, 15445,  5471,  5467
  9249, 13840, 13844,  8770,  8764
-15798,  9336,  9338,-13462,-13460
 -4529, 15760, 15762, -4470, -4470
 -1779, 16287, 16291, -1774, -1780
-19166,  6396,  6396,-15084,-15084
 19370,  6202,  6206, 15165, 15163
  9762, 13558, 13560,  9198,  9194
 21425,  4262,  4260, 15820, 15820
-24298,  1433,  1435,-16319,-16319
-13806, 10901, 10901,-12228,-12228
 15323,  9721,  9725, 13186, 13184
  -296, 16385, 16381,  -296,  -296
-22364,  3341,  3347,-16036,-16036
 20772,  4886,  4888, 15636, 15636
  6369, 15163, 15163,  6208,  6208
   477, 16376, 16376,   480,   478
-24544,  1195,  1191,-16342,-16342
  7674, 14619, 14619,  7398,  7396
 -8661, 14147, 14151, -8264, -8264
-25472,   259,   263,-16378,-16378
-19823,  5780,  5784,-15327,-15327
 -2352, 16220, 16216, -2343, -2343
-22436,  3269,  3275,-16048,-16048
-20396,  5236,  5242,-15520,-15518
-15389,  9668,  9672,-13222,-13222
 -4668, 15719, 15721, -4602, -4602
 11100, 12764, 12764, 10271, 10271
  9924, 13468, 13466,  9327,  9331
-19117,  6438,  6440,-15066,-15064
-14254, 10563, 10559,-12525,-12521
   301, 16378, 16378,   304,   304
 -9031, 13948, 13956, -8581, -8575
 10013, 13416, 13416,  9403,  9403
 -9080, 13928, 13930, -8625, -8619
 22716,  3003,  3001, 16108, 16108
 16448,  8796,  8802, 13821, 13817
-17074,  8264,  8262,-14148,-14148
 11908, 12244, 12244, 10888, 10888
 12474, 11858, 11858, 11307, 11307
 18913,  6625,  6627, 14984, 14984
  1255, 16338, 16338,  1258,  1250
 -9175, 13879, 13883, -8705, -8701
 13321, 11261, 11263, 11903, 11901
  5708, 15401, 15401,  5593,  5591
  5691, 15405, 15405,  5579,  5577
 -7414, 14740, 14738, -7165, -7165
-15062,  9937,  9935,-13027,-13029
-11428, 12562, 12560,-10523,-10523
 -6845, 14973, 14977, -6648, -6646
 17481,  7911,  7905, 14348, 14352
  2646, 16171, 16171,  2637,  2633
 14599, 10295, 10297, 12744, 12742
 10051, 13395, 13395,  9431,  9431
   496, 16376, 16376,   494,   494
 -9413, 13759, 13757, -8904, -8910
 12490, 11848, 11848, 11317, 11317
 -1875, 16281, 16279, -1872, -1872
 -7006, 14912, 14910, -6794, -6792
 -2776, 16148, 16146, -2765, -2759
 22624,  3093,  3093, 16089, 16089
-13264, 11304, 11302,-11865,-11865
 19030,  6521,  6515, 15030, 15034
  9767, 13556, 13558,  9200,  9198
 16862,  8446,  8444, 14039, 14041
  9325, 13799, 13797,  8830,  8834
 18594,  6918,  6916, 14853, 14853
-18606,  6907,  6907,-14857,-14857
 -3989, 15902, 15900, -3952, -3948
-13281, 11292, 11290,-11875,-11875
 -5340, 15529, 15525, -5244, -5248
-22482,  3236,  3234,-16063,-16063
 -1049, 16349, 16353, -1048, -1048
-23569,  2159,  2163,-16240,-16240
 17408,  7969,  7969, 14314, 14314
  8474, 14240, 14240,  8101,  8099
  8764, 14094, 14096,  8353,  8349
 -5906, 15334, 15330, -5782, -5774
  3122, 16087, 16087,  3105,  3105
 22518,  3197,  3197, 16069, 16069
  1211, 16340, 16340,  1214,  1208
 25547,   190,   190, 16383, 16383
 15142,  9868,  9870, 13077, 13075
 11466, 12535, 12531, 10551, 10555
-20996,  4677,  4675,-15703,-15703
-21442,  4251,  4247,-15824,-15824
 -6283, 15199, 15199, -6131, -6131
  2326, 16217, 16217,  2317,  2319
 14599, 10295, 10297, 12744, 12742
-19359,  6213,  6217,-15159,-15159
 10874, 12908, 12908, 10091, 10091
 22173,  3530,  3536, 15996, 15996
 -7449, 14723, 14723, -7197, -7197
 13175, 11367, 11365, 11800, 11802
 -3273, 16052, 16058, -3253, -3251
  3402, 16030, 16030,  3378,  3380
 15417,  9647,  9651, 13240, 13238
 -1765, 16295, 16293, -1766, -1768
-13971, 10785, 10781,-12340,-12342
-16499,  8759,  8757,-13848,-13850
-21081,  4591,  4593,-15726,-15726
-12710, 11691, 11693,-11475,-11469
 15138,  9870,  9874, 13075, 13073
  2458, 16199, 16199,  2449,  2449
 14809, 10133, 10133, 12876, 12876
 -5808, 15364, 15366, -5686, -5686
 14152, 10640, 10642, 12457, 12455
 18026,  7426,  7426, 14605, 14605
-23272,  2454,  2454,-16199,-16197
-14898, 10062, 10064,-12928,-12928
-22658,  3058,  3060,-16096,-16096
 24294,  1436,  1446, 16319, 16317
-21997,  3709,  3707,-15960,-15960
    41, 16383, 16383,    42,    42
 17900,  7539,  7539, 14546, 14546
-11860, 12279, 12277,-10852,-10852
-20237,  5388,  5394,-15469,-15467
-11591, 12454, 12454,-10646,-10648
 14895, 10065, 10067, 12928, 12926
  7868, 14532, 14532,  7569,  7569
  8863, 14045, 14047,  8438,  8434
   845, 16361, 16361,   848,   846
 14061, 10712, 10712, 12397, 12397
  9204, 13866, 13868,  8730,  8726
 -4866, 15671, 15667, -4794, -4794
